,GDate,CodOfBuyer,CodOfSeller,Value,Valume
34706,2022-04-17,176634,209219,1725400855,223082
34756,2022-04-17,157035,858950,2794756948,385830
34768,2022-04-17,152066,473405,1263532205,173441
34803,2022-04-17,142850,913786,1727331550,344730
34808,2022-04-17,142850,686251,1727695273,266781
34815,2022-04-17,142850,209219,1697862696,353020
34819,2022-04-17,142850,128066,6687892526,908453
34821,2022-04-17,142850,393344,1721096533,342124
34825,2022-04-17,142850,895384,2752564832,456272
34832,2022-04-17,142850,088039,1155530925,198559
34833,2022-04-17,142850,852094,1296883013,250378
35067,2022-04-17,450647,393344,1696926666,324358
35089,2022-04-17,325304,564910,1718768394,317992
35173,2022-04-17,130394,295414,1694164957,286342
35174,2022-04-17,130394,284504,1469368737,193944
35183,2022-04-17,130394,888952,1530557597,340364
35187,2022-04-17,130394,014598,5059271794,681562
35188,2022-04-17,130394,216797,3265074650,513813
35191,2022-04-17,130394,852094,2146980167,320450
35243,2022-04-17,539541,776941,1699756348,332483
35244,2022-04-17,696670,922183,5155439040,763815
35246,2022-04-17,696670,827478,1168909314,175989
35259,2022-04-17,696670,014598,5126692264,650197
35260,2022-04-17,696670,852094,1722604232,284964
35261,2022-04-17,696670,516243,1168281749,185281
35332,2022-04-17,132909,325304,1095181264,181335
35353,2022-04-17,736252,657827,1123303177,202410
35357,2022-04-17,736252,312608,1680533886,366740
35409,2022-04-17,733855,764663,1730836901,354477
35441,2022-04-17,929417,852094,1597240492,313105
35514,2022-04-17,090596,215419,1657448700,240610
35541,2022-04-17,141761,564910,1716899382,349703
35572,2022-04-17,245756,758706,1726962442,318256
35587,2022-04-17,276091,480454,1449212409,327847
35596,2022-04-17,304554,510163,2582687715,437950
35602,2022-04-17,304554,162426,1449073533,333396
35700,2022-04-17,710236,215276,3789688669,566922
35719,2022-04-17,741915,725324,1113230532,297972
35762,2022-04-17,895384,162426,1147348128,159359
35770,2022-04-17,922992,922183,1698943531,306455
35783,2022-04-17,977788,215276,1531718216,339153
35838,2022-04-17,224359,246435,1302504711,290909
35903,2022-04-17,469738,393344,1266041473,253415
35942,2022-04-17,644797,858347,1279850808,152889
35952,2022-04-17,644797,223566,1141630487,138927
36042,2022-04-17,783933,617843,1216184062,247382
36070,2022-04-17,830878,128066,1149027632,199881
36108,2022-04-17,995692,215276,1376870200,174552
36149,2022-04-17,162228,641222,1221162122,263287
36205,2022-04-17,524767,776941,1723317838,281011
36220,2022-04-17,678351,758706,1713035598,238450
36228,2022-04-17,678351,163989,1314468026,270882
36244,2022-04-17,756330,209219,1719066471,362618
36248,2022-04-17,756330,702536,1716804117,224925
36311,2022-04-17,024752,246435,1700861168,230245
36314,2022-04-17,027876,014598,1624997821,223946
36315,2022-04-17,027876,516243,1145926724,176518
36334,2022-04-17,116271,758706,1735542341,362928
36338,2022-04-17,116271,473405,1206039519,291750
36453,2022-04-17,375505,246435,1207642415,210336
36460,2022-04-17,375505,422637,1730347147,320063
36488,2022-04-17,500640,553297,1722415078,327864
36491,2022-04-17,503370,764663,1716681540,243054
36498,2022-04-17,578287,006908,1273499602,260316
36528,2022-04-17,706174,922183,1714558829,285338
36543,2022-04-17,706174,657185,1701435906,340962
36549,2022-04-17,706174,617843,1721294229,228959
36598,2022-04-17,706174,764663,1715721825,217588
36612,2022-04-17,706174,119934,1640075056,319785
36627,2022-04-17,706174,888952,1357234213,189992
36659,2022-04-17,706174,186302,2023096346,340726
36667,2022-04-17,706174,473405,1671489021,325935
36681,2022-04-17,706174,312437,1155254039,160843
36685,2022-04-17,706174,162426,1405757149,269490
36726,2022-04-17,876975,380360,1119724914,272792
36834,2022-04-17,302568,764663,1083975932,282680
36901,2022-04-17,447360,447319,1181756808,313975
36904,2022-04-17,447360,163989,1985023323,334563
37040,2022-04-17,877902,163989,1543877807,311890
37051,2022-04-17,896598,014598,2584925727,365315
37105,2022-04-17,177776,393344,1216358822,270131
37163,2022-04-17,408865,553297,1709635664,380312
37165,2022-04-17,408865,393344,1521500876,297539
37195,2022-04-17,542975,223566,1697326426,211652
37234,2022-04-17,557286,363574,11640580005,1538314
37258,2022-04-17,557286,618739,4271281871,519857
37278,2022-04-17,557286,564910,1718873296,309811
37284,2022-04-17,557286,049270,5330017835,709007
37286,2022-04-17,557286,311495,1703273540,238037
37376,2022-04-17,889782,768803,2381193758,415786
37458,2022-04-17,127073,452691,1135475937,181018
37523,2022-04-17,387481,393344,1632062567,349536
37601,2022-04-17,603199,888952,1400426272,301871
37636,2022-04-17,763381,001532,1256663127,189427
37639,2022-04-17,763381,014598,2924141236,405622
37673,2022-04-17,927891,747236,1562161913,290241
37753,2022-04-17,126353,215276,1171086999,193256
37797,2022-04-17,225810,834011,1715200619,275304
37807,2022-04-17,311495,795763,1631154366,276485
37848,2022-04-17,404591,408340,1128751627,208054
37927,2022-04-17,753719,014598,1556419582,327760
37975,2022-04-17,943949,014598,1579306890,223983
37987,2022-04-17,987951,014598,1086720337,249533
38003,2022-04-17,100882,405839,1637750495,325633
38300,2022-04-18,829197,972508,1617062809,210373
38665,2022-04-18,658434,830878,1139668246,183978
38687,2022-04-18,657185,889782,1522856396,223880
38699,2022-04-18,654418,121181,1223650566,221216
38974,2022-04-18,524099,302568,1608613648,232099
39002,2022-04-18,521316,496781,1515641635,181306
39013,2022-04-18,521316,815981,1736114375,367762
39015,2022-04-18,521316,130394,3781116261,585224
39019,2022-04-18,521316,678351,2436490999,329566
39103,2022-04-18,493307,790904,1145093086,212703
39128,2022-04-18,480454,712777,5385043836,737968
39129,2022-04-18,480454,574265,5008876192,761695
39321,2022-04-18,393472,463794,1366953064,178866
39359,2022-04-18,393472,659516,1144631797,304116
39395,2022-04-18,393472,687390,2555816176,458607
39465,2022-04-18,360621,466388,1166270437,230254
39470,2022-04-18,360621,995692,1636897628,350020
39796,2022-04-18,186909,701038,1658611600,252656
39822,2022-04-18,186909,681624,3155836581,473066
39825,2022-04-18,186909,090596,1598828877,217146
40057,2022-04-18,819379,810081,1677621599,247417
40065,2022-04-18,819379,681624,1767549246,351166
40068,2022-04-18,819379,357108,1296097805,198632
40116,2022-04-18,646393,216797,1580029352,349344
40312,2022-04-18,783778,687390,2513622066,333942
40788,2022-04-18,352268,681624,1298335718,326412
40927,2022-04-18,838239,815981,1654956167,275390
40968,2022-04-18,972875,524141,1769036084,237752
40973,2022-04-18,972875,199370,1754119824,362479
40978,2022-04-18,972875,546874,1757277976,288047
40979,2022-04-18,972875,756330,1592861514,218585
40981,2022-04-18,972875,216797,1274268572,318243
41073,2022-04-18,515192,852321,1203561565,296976
41078,2022-04-18,515192,731935,1090462680,228531
41094,2022-04-18,515192,681624,4892700767,603842
41278,2022-04-18,125749,876018,1701816981,299341
41284,2022-04-18,125749,834742,1607129714,333971
41294,2022-04-18,125749,657185,2080136871,406837
41297,2022-04-18,125749,628240,1740516017,364803
41301,2022-04-18,125749,471589,3428689132,531771
41327,2022-04-18,125749,183277,3430191185,421546
41338,2022-04-18,125749,819379,1682861099,195361
41348,2022-04-18,125749,783778,1471619837,180631
41360,2022-04-18,125749,710236,2847695563,437355
41385,2022-04-18,125749,024752,1756037902,331261
41386,2022-04-18,125749,027876,2018863153,250362
41390,2022-04-18,125749,578287,1110681161,288007
41412,2022-04-18,125749,889782,2258960960,271912
41434,2022-04-18,125749,972508,1865249006,272236
41448,2022-04-18,216797,687390,1565984407,311694
41490,2022-04-18,353634,834742,1381573905,195570
41557,2022-04-18,353634,659369,2322655971,335162
41610,2022-04-18,629560,687390,1283652956,302336
41958,2022-04-18,217110,815981,1730607874,245319
41960,2022-04-18,217110,130394,6867236302,978499
41961,2022-04-18,217110,689068,1649669312,221840
41966,2022-04-18,217110,678351,2187337528,329626
42070,2022-04-18,497881,232385,1742821178,218959
42072,2022-04-18,497881,130394,1213947181,253156
42136,2022-04-18,557286,545439,1575775701,297310
42157,2022-04-18,557286,819379,1925382065,335453
42162,2022-04-18,557286,239240,1101281935,304264
42165,2022-04-18,557286,393344,1766292434,207959
42187,2022-04-18,557286,603199,1629749513,296844
42583,2022-04-18,404591,754074,2104440587,362321
42590,2022-04-18,404591,545319,1645839004,315504
42630,2022-04-18,404591,741994,1262504739,251030
42808,2022-04-18,154593,223566,2861172872,390460
43005,2022-04-19,791249,216797,1093577049,161357
43275,2022-04-19,543236,248228,1216721099,316390
43281,2022-04-19,543236,173818,1889234252,288437
43537,2022-04-19,357552,352268,1265854854,280726
43587,2022-04-19,346950,442016,1613120178,282956
44978,2022-04-19,154593,617843,1242511883,181655
44981,2022-04-19,154593,592115,1282851358,294003
45018,2022-04-19,154593,090596,1086014225,214193
45021,2022-04-19,154593,352268,5076954123,686688
45269,2022-04-20,758706,835919,1370517859,259510
45768,2022-04-20,308535,890043,1423546923,170291
45993,2022-04-20,819379,497881,2452101403,394935
46420,2022-04-20,014598,497881,4376741401,543224
46576,2022-04-20,802577,845199,1252473695,197411
46584,2022-04-20,802577,441876,1670978544,260616
46587,2022-04-20,802577,379798,1184590064,212853
46608,2022-04-20,802577,408865,1368276970,341089
46610,2022-04-20,802577,998428,1166736900,317031
46844,2022-04-20,402158,763593,1664997001,204821
47460,2022-04-24,549811,328049,1518687999,325885
47647,2022-04-24,397198,163989,2880702688,430152
47759,2022-04-24,285400,657185,1113750856,248312
47868,2022-04-24,199462,369596,1152508101,244712
48019,2022-04-24,977871,375505,1608084471,265707
48084,2022-04-24,739816,223639,1276333686,184907
48324,2022-04-24,667035,375505,1536976945,229659
48332,2022-04-24,668525,375505,1413136494,230679
48356,2022-04-24,875501,328049,1353249552,298359
48455,2022-04-24,322497,480454,2403904341,329402
48495,2022-04-24,352268,563293,2421137447,444272
48499,2022-04-24,352268,163989,2012052584,384345
48524,2022-04-24,352268,375505,3500882705,517769
48533,2022-04-24,352268,785426,2316429851,417924
48541,2022-04-24,352268,217194,2842319268,476900
48586,2022-04-24,644797,163989,1391315143,201174
49148,2022-04-24,763381,369596,2128887814,328452
49966,2022-04-25,389793,842541,1456883782,268087
50305,2022-04-25,203299,217194,1807992606,227290
50653,2022-04-25,125056,163989,1398053576,309439
50863,2022-04-25,875501,217194,1524104688,347806
51359,2022-04-25,473405,163989,1704982708,306799
51408,2022-04-25,741511,163989,1289928892,233573
51414,2022-04-25,741511,166123,1244094899,150441
51660,2022-04-25,861512,447360,1198267655,312019
51825,2022-04-26,801446,543236,1520793770,229157
51828,2022-04-26,801446,252669,1246437032,147216
51830,2022-04-26,801446,163989,2211963126,322119
52076,2022-04-26,553297,153022,1318952122,243883
52107,2022-04-26,525681,751134,1169327175,153480
52311,2022-04-26,308493,543236,1109182604,185028
52385,2022-04-26,246435,543236,1535172788,192736
52391,2022-04-26,246435,163989,11604412194,1403465
52428,2022-04-26,209219,217194,1722798382,325358
52498,2022-04-26,143914,163989,1933348836,387697
52549,2022-04-26,955277,375505,1208466551,152880
52689,2022-04-26,125056,163989,1587310211,215834
52790,2022-04-26,369809,203299,1208945507,181909
53040,2022-04-26,138719,217194,1678044179,287462
53106,2022-04-26,116271,163989,1643873108,371285
